# Job started on: Wed Aug 30 11:53:35 CEST 2023 ....
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:54:06 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  12.9293 1.2679e+06 1.2350e+06 1.3007e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2350e+06 1.3007e+06
  13.1313 1.1837e+06 1.1528e+06 1.2146e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1528e+06 1.2146e+06
  13.3333 1.1060e+06 1.0770e+06 1.1350e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0770e+06 1.1350e+06
  13.5354 1.0342e+06 1.0070e+06 1.0615e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0070e+06 1.0615e+06
  13.7374 9.6786e+05 9.4224e+05 9.9347e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.4224e+05 9.9347e+05
  13.9394 9.0642e+05 8.8231e+05 9.3054e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.8231e+05 9.3054e+05
  14.1414 8.4952e+05 8.2680e+05 8.7223e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2680e+05 8.7223e+05
  14.3434 7.9675e+05 7.7534e+05 8.1817e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.7534e+05 8.1817e+05
  14.5455 7.4780e+05 7.2759e+05 7.6800e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2759e+05 7.6800e+05
  14.7475 7.0235e+05 6.8327e+05 7.2142e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8327e+05 7.2142e+05
  14.9495 6.6012e+05 6.4210e+05 6.7814e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4210e+05 6.7814e+05
  15.1515 6.2086e+05 6.0382e+05 6.3788e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0382e+05 6.3788e+05
  15.3535 5.8431e+05 5.6820e+05 6.0041e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6820e+05 6.0041e+05
  15.5556 5.5028e+05 5.3503e+05 5.6551e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3503e+05 5.6551e+05
  15.7576 5.1855e+05 5.0411e+05 5.3297e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0411e+05 5.3297e+05
  15.9596 4.8895e+05 4.7528e+05 5.0261e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7528e+05 5.0261e+05
  16.1616 4.6132e+05 4.4836e+05 4.7427e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4836e+05 4.7427e+05
  16.3636 4.3551e+05 4.2322e+05 4.4778e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.2322e+05 4.4778e+05
  16.5657 4.1138e+05 3.9972e+05 4.2302e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9972e+05 4.2302e+05
  16.7677 3.8880e+05 3.7774e+05 3.9985e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7774e+05 3.9985e+05
  16.9697 3.6766e+05 3.5716e+05 3.7816e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5716e+05 3.7816e+05
  17.1717 3.4786e+05 3.3788e+05 3.5783e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3788e+05 3.5783e+05
  17.3737 3.2930e+05 3.1982e+05 3.3878e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1982e+05 3.3878e+05
  17.5758 3.1189e+05 3.0287e+05 3.2090e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0287e+05 3.2090e+05
  17.7778 2.9555e+05 2.8698e+05 3.0413e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8698e+05 3.0413e+05
  17.9798 2.8021e+05 2.7205e+05 2.8838e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7205e+05 2.8838e+05
  18.1818 2.6580e+05 2.5804e+05 2.7358e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5804e+05 2.7358e+05
  18.3838 2.5226e+05 2.4486e+05 2.5967e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4486e+05 2.5967e+05
  18.5859 2.3952e+05 2.3247e+05 2.4658e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3247e+05 2.4658e+05
  18.7879 2.2754e+05 2.2081e+05 2.3427e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2081e+05 2.3427e+05
  18.9899 2.1625e+05 2.0984e+05 2.2268e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0984e+05 2.2268e+05
  19.1919 2.0562e+05 1.9950e+05 2.1175e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9950e+05 2.1175e+05
  19.3939 1.9560e+05 1.8976e+05 2.0145e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8976e+05 2.0145e+05
  19.5960 1.8615e+05 1.8057e+05 1.9174e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8057e+05 1.9174e+05
  19.7980 1.7723e+05 1.7190e+05 1.8257e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7190e+05 1.8257e+05
  20.0000 1.6881e+05 1.6371e+05 1.7392e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6371e+05 1.7392e+05
