# Job started on: Thu Aug 10 10:51:00 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:51:30 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  11.9192 4.8100e+06 4.6917e+06 4.9282e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6917e+06 4.9282e+06
  12.1212 4.4951e+06 4.3842e+06 4.6060e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3842e+06 4.6060e+06
  12.3232 4.2044e+06 4.1003e+06 4.3086e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1003e+06 4.3086e+06
  12.5253 3.9358e+06 3.8379e+06 4.0336e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8379e+06 4.0336e+06
  12.7273 3.6872e+06 3.5951e+06 3.7792e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5951e+06 3.7792e+06
  12.9293 3.4570e+06 3.3703e+06 3.5436e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3703e+06 3.5436e+06
  13.1313 3.2436e+06 3.1620e+06 3.3253e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1620e+06 3.3253e+06
  13.3333 3.0457e+06 2.9688e+06 3.1227e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9688e+06 3.1227e+06
  13.5354 2.8620e+06 2.7894e+06 2.9346e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7894e+06 2.9346e+06
  13.7374 2.6913e+06 2.6227e+06 2.7599e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6227e+06 2.7599e+06
  13.9394 2.5325e+06 2.4677e+06 2.5974e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4677e+06 2.5974e+06
  14.1414 2.3848e+06 2.3235e+06 2.4461e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3235e+06 2.4461e+06
  14.3434 2.2472e+06 2.1891e+06 2.3052e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1891e+06 2.3052e+06
  14.5455 2.1189e+06 2.0640e+06 2.1739e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0640e+06 2.1739e+06
  14.7475 1.9993e+06 1.9472e+06 2.0514e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9472e+06 2.0514e+06
  14.9495 1.8876e+06 1.8382e+06 1.9370e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8382e+06 1.9370e+06
  15.1515 1.7832e+06 1.7363e+06 1.8301e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7363e+06 1.8301e+06
  15.3535 1.6856e+06 1.6411e+06 1.7302e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6411e+06 1.7302e+06
  15.5556 1.5944e+06 1.5521e+06 1.6366e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5521e+06 1.6366e+06
  15.7576 1.5089e+06 1.4687e+06 1.5491e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4687e+06 1.5491e+06
  15.9596 1.4288e+06 1.3906e+06 1.4670e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3906e+06 1.4670e+06
  16.1616 1.3538e+06 1.3174e+06 1.3901e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3174e+06 1.3901e+06
  16.3636 1.2834e+06 1.2487e+06 1.3180e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2487e+06 1.3180e+06
  16.5657 1.2172e+06 1.1843e+06 1.2502e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1843e+06 1.2502e+06
  16.7677 1.1552e+06 1.1237e+06 1.1866e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1237e+06 1.1866e+06
  16.9697 1.0968e+06 1.0668e+06 1.1268e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0668e+06 1.1268e+06
  17.1717 1.0420e+06 1.0134e+06 1.0706e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0134e+06 1.0706e+06
  17.3737 9.9035e+05 9.6304e+05 1.0177e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.6304e+05 1.0177e+06
  17.5758 9.4176e+05 9.1568e+05 9.6784e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1568e+05 9.6784e+05
  17.7778 8.9598e+05 8.7106e+05 9.2090e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7106e+05 9.2090e+05
  17.9798 8.5283e+05 8.2901e+05 8.7665e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2901e+05 8.7665e+05
  18.1818 8.1214e+05 7.8936e+05 8.3491e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8936e+05 8.3491e+05
  18.3838 7.7374e+05 7.5195e+05 7.9552e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5195e+05 7.9552e+05
  18.5859 7.3748e+05 7.1663e+05 7.5833e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1663e+05 7.5833e+05
  18.7879 7.0323e+05 6.8327e+05 7.2320e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8327e+05 7.2320e+05
  18.9899 6.7086e+05 6.5174e+05 6.8998e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5174e+05 6.8998e+05
  19.1919 6.4026e+05 6.2194e+05 6.5858e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2194e+05 6.5858e+05
  19.3939 6.1130e+05 5.9374e+05 6.2886e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9374e+05 6.2886e+05
  19.5960 5.8390e+05 5.6706e+05 6.0074e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6706e+05 6.0074e+05
  19.7980 5.5794e+05 5.4179e+05 5.7410e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4179e+05 5.7410e+05
  20.0000 5.3335e+05 5.1785e+05 5.4886e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1785e+05 5.4886e+05
